Word,Frequency
huffington,3
decide,2
bloggers,2
media,2
history,1
political,1
blogging,1
might,1
usefully,1
divide,1
periods,1
pre,1
post,1
millionaire,1
socialite,1
arianna,1
get,1
act,1
operate,1
spirit,1
underdog,1
solidarity,1
hat,1
mainstream,1
feel,1
mutual,1
saw,1
gadflies,1
prick,1
arrogance,1
establish,1
elites,1
home,1
computers,1
pyjamas,1
late,1
night,1
2005,1
mobilize,1
fortune,1
connections,1
create,1
scratch,1
flagship,1
liberal,1
blog,1
roundly,1
deride,1
splutter,1
original,1
bloggerati,1
think,1
